E.I.N.,DATE,TYPE,Casino,Administrator,Excused,Severity,Doc VS Infraction
Employee 59,8/23/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,8/24/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,10/18/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,10/19/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,10/31/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,11/6/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,12/15/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,12/24/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,2/10/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 59,3/3/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 60,8/31/2019,Notice Failure,Location 4,Supervisor 110,Y,Standard,Infraction
Employee 60,9/15/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 60,9/22/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 60,9/28/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 60,9/29/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 60,9/30/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 60,10/1/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 60,1/18/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 64,8/13/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 64,8/17/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,8/31/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,9/26/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,10/22/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,10/30/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,11/7/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,11/19/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 64,11/27/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,12/11/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 64,12/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,1/1/2020,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 64,1/31/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 64,2/14/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 64,2/22/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 69,9/27/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 69,10/11/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 69,11/15/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 69,12/4/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 69,12/5/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 69,1/31/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 69,2/22/2020,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 76,8/12/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 76,8/24/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 76,9/20/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 76,10/11/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 76,11/17/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 76,12/23/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 76,2/8/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 76,2/29/2020,Notice Failure,Location 4,Supervisor 110,,Standard,Infraction
Employee 76,3/7/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 76,3/14/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 79,8/20/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 79,12/25/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 79,12/28/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 79,12/29/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 79,3/7/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 79,3/14/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,8/27/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,8/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 80,9/9/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,9/10/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,9/11/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,11/9/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 80,12/21/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,12/25/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 80,1/8/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 80,1/13/2020,Early Out,Location 4,Supervisor 110,,Minor,Infraction
Employee 80,1/14/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 80,2/5/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 80,2/16/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 80,2/18/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,3/9/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,3/14/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 80,3/14/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,8/22/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,8/30/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,8/31/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,9/4/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,9/20/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,10/9/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,10/11/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 81,10/15/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 81,10/25/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,10/28/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,11/2/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 81,11/16/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,12/3/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,12/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 81,12/31/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 81,1/15/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 81,1/22/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 81,2/4/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 81,3/8/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 81,3/14/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 98,9/4/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 98,11/2/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 98,11/29/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 98,12/25/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 98,12/26/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 98,12/27/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 98,1/23/2020,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 98,2/7/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 100,8/14/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,8/21/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,8/31/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,9/21/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,10/5/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,10/6/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,10/7/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 100,10/8/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 100,11/27/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 100,12/8/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 100,12/18/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 100,1/15/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,1/18/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 100,1/19/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 100,3/14/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,8/23/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,9/2/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,9/16/2019,Notice Failure,Location 4,Supervisor 110,Y,Standard,Infraction
Employee 101,10/2/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,10/3/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,10/5/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,10/6/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,10/7/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,10/9/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,10/10/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,11/2/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,11/23/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,12/5/2019,Notice Failure,Location 4,Supervisor 110,,Standard,Infraction
Employee 101,12/7/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,1/4/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,2/6/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,3/8/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 101,3/11/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,3/12/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 101,3/14/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 104,8/27/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 104,8/28/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 104,8/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,9/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,10/1/2019,Notice Failure,Location 4,Supervisor 110,,Standard,Infraction
Employee 104,10/11/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,10/12/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,10/23/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 104,11/1/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,11/30/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,12/19/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,12/24/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 104,1/3/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,1/24/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,2/6/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,2/19/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 104,3/14/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,8/16/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,8/23/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,8/24/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,8/31/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,9/7/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,10/1/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,10/17/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,10/18/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,10/19/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,10/26/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,10/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,10/31/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,11/27/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,12/4/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,12/15/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,12/25/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 107,1/7/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 107,1/25/2020,Holiday Absence,Location 4,Supervisor 110,,Major,Infraction
Employee 107,2/15/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,2/20/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,3/7/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 107,3/10/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 110,8/26/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 110,9/11/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 110,9/14/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,9/15/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,9/16/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,9/29/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,10/9/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,10/19/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,11/24/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,12/4/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,12/29/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,12/31/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/4/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/11/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/13/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/15/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/18/2020,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/21/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 110,1/22/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/27/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,1/28/2020,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,2/8/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,2/10/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,2/15/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,2/24/2020,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,2/29/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,3/1/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,3/2/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 110,3/3/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,8/17/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,8/17/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,8/17/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,8/24/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,8/24/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,8/25/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,8/25/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,8/25/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,9/5/2019,Notice Failure,Location 4,Supervisor 110,Y,Standard,Infraction
Employee 111,9/5/2019,Notice Failure,Location 4,Supervisor 110,Y,Standard,Infraction
Employee 111,9/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,9/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,9/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,10/5/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/5/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/20/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,10/20/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,10/20/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,10/23/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/23/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/24/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/24/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/26/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/26/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/27/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/27/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,10/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,10/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,10/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/10/2019,Early Out,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/10/2019,Early Out,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/10/2019,Early Out,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/16/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/16/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/16/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,11/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,12/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,12/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,12/13/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,12/26/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,12/26/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,12/26/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,1/2/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 111,3/6/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 111,3/14/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 112,8/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,9/27/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,10/8/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,11/8/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,11/15/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,12/13/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,12/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,1/30/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 112,1/31/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 112,2/1/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 112,2/16/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 112,2/21/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 112,3/13/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 113,9/7/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 113,10/12/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 113,12/8/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 113,12/19/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 113,12/27/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 113,1/2/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 113,1/3/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 113,1/19/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 113,1/28/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 113,2/10/2020,Notice Failure,Location 4,Supervisor 110,Y,Standard,Infraction
Employee 113,2/14/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 113,2/23/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 113,3/3/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 113,3/5/2020,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,8/10/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,8/28/2019,Notice Failure,Location 4,Supervisor 110,Y,Standard,Infraction
Employee 116,9/14/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,9/24/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 116,10/2/2019,Notice Failure,Location 4,Supervisor 110,Y,Standard,Infraction
Employee 116,11/12/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 116,11/27/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 116,12/2/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,12/7/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,12/8/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,12/9/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,12/28/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,12/29/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 116,1/23/2020,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 116,2/5/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 116,2/19/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 116,3/9/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 126,9/5/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 126,9/20/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 126,10/25/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 126,11/22/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 126,11/28/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 126,1/1/2020,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 126,1/2/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 126,2/7/2020,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,9/20/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,9/27/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,10/11/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,10/17/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,10/24/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,10/26/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,10/31/2019,Holiday Absence,Location 4,Supervisor 110,Y,Major,Infraction
Employee 127,11/8/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,11/15/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,11/20/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,11/26/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,11/27/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,12/3/2019,Absence,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,12/4/2019,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,12/5/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,12/13/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,12/20/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,12/24/2019,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,12/24/2019,Early Out,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,12/27/2019,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,1/3/2020,Late Return from Lunch,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,1/10/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,1/17/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,1/29/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,2/1/2020,Late Return from Break,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,2/18/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,2/20/2020,Tardy,Location 4,Supervisor 110,Y,Minor,Infraction
Employee 127,2/28/2020,Tardy,Location 4,Supervisor 110,,Minor,Infraction
Employee 127,2/29/2020,Absence,Location 4,Supervisor 110,Y,Minor,Infraction
